,update_time,publish_time,authors,journal_ref,doi,primary_category,categories,entry_id,version
61,2021-12-12 11:14:22+00:00,2021-02-20 06:20:33+00:00,"['Zhi Zhang', 'Yueqiang Cheng', 'Minghua Wang', 'Wei He', 'Wenhao Wang', 'Nepal Surya', 'Yansong Gao', 'Kang Li', 'Zhe Wang', 'Chenggang Wu']",,,cs.CR,"['cs.CR', 'cs.OS', 'cs.SE']",2102.10269,2
62,2021-04-22 08:57:18+00:00,2020-05-20 19:54:38+00:00,"['Mohammad Sina Karvandi', 'Saleh Khalaj Monfared', 'Mohammad Sina Kiarostami', 'Dara Rahmati', 'Saeid Gorgin']",,,cs.CR,"['cs.CR', 'cs.AR', 'cs.OS']",2005.10333,2
63,2014-02-03 23:01:55+00:00,2013-12-23 19:19:40+00:00,"['Samaneh Kazemi Nafchi', 'Rohan Garg', 'Gene Cooperman']",,,cs.OS,"['cs.OS', 'D.4.5']",1312.6650,2
64,2020-12-10 09:37:11+00:00,2020-10-29 13:44:58+00:00,"['Taichi Miya', 'Kohta Ohshima', 'Yoshiaki Kitaguchi', 'Katsunori Yamaoka']",,,cs.NI,"['cs.NI', 'cs.OS', 'cs.PF']",2010.15572,2
65,2020-06-23 01:28:19+00:00,2020-06-22 10:37:40+00:00,"['Taeuk Kim', 'Safdar Jamil', 'Joongeon Park', 'Youngjae Kim']",,,cs.AR,"['cs.AR', 'cs.ET', 'cs.OS']",2006.12133,2
66,2021-05-21 21:47:51+00:00,2020-11-30 18:03:28+00:00,"['Olivier Nicole', 'Matthieu Lemerre', 'Sébastien Bardin', 'Xavier Rival']",,10.1109/RTAS52030.2021.00011,cs.CR,"['cs.CR', 'cs.OS']",2011.15065,2
67,2020-10-23 12:21:28+00:00,2020-09-15 11:15:25+00:00,"['Maksym Planeta', 'Jan Bierbaum', 'Leo Sahaya Daphne Antony', 'Torsten Hoefler', 'Hermann Härtig']",,,cs.OS,"['cs.OS', 'cs.DC', 'cs.NI']",2009.06988,2
68,2021-06-20 00:16:47+00:00,2020-12-29 07:17:38+00:00,"['Chia-Chi Li', 'Vikram K. Ramanna', 'Daniel Webber', 'Cole Hunter', 'Tyler Hack', 'Behnam Dezfouli']",,,cs.NI,"['cs.NI', 'cs.OS', 'cs.PF']",2012.14635,2
69,2016-09-22 10:38:29+00:00,2015-08-26 05:20:50+00:00,"['Piyus Kedia', 'Sorav Bansal']",,,cs.OS,['cs.OS'],1508.06367,2
70,2020-03-19 02:43:49+00:00,2020-03-17 21:09:24+00:00,"['Soroush Bateni', 'Zhendong Wang', 'Yuankun Zhu', 'Yang Hu', 'Cong Liu']",,,cs.DC,"['cs.DC', 'cs.OS']",2003.07945,2
71,2014-05-05 16:05:35+00:00,2013-12-12 22:38:08+00:00,"['David Isaac Wolinsky', 'Bryan Ford']",,,cs.OS,"['cs.OS', 'cs.CR']",1312.3665,2
72,2020-06-22 13:11:11+00:00,2020-06-16 07:45:22+00:00,"['Jie Zhang', 'Miryeong Kwon', 'Sanghyun Han', 'Nam Sung Kim', 'Mahmut Kandemir', 'Myoungsoo Jung']",,,cs.OS,['cs.OS'],2006.08966,2
73,2015-04-29 20:05:56+00:00,2015-04-17 21:13:07+00:00,"['Dave Dice', 'Tim Harris', 'Alex Kogan', 'Yossi Lev']",,,cs.OS,"['cs.OS', 'D.1.3']",1504.04640,2
74,2022-04-13 07:10:20+00:00,2020-11-20 07:48:27+00:00,"['Tuo Li', 'Bradley Hopkins', 'Sri Parameswaran']",,,cs.CR,"['cs.CR', 'cs.AR', 'cs.OS']",2011.10249,2
75,2021-03-04 16:14:42+00:00,2020-07-09 04:45:54+00:00,"['Yifan Yuan', 'Mohammad Alian', 'Yipeng Wang', 'Ilia Kurakin', 'Ren Wang', 'Charlie Tai', 'Nam Sung Kim']",,,cs.AR,"['cs.AR', 'cs.OS']",2007.04552,2
76,2016-03-10 11:04:54+00:00,2015-12-07 11:16:43+00:00,"['Luca Abeni', 'Giuseppe Lipari', 'Andrea Parri', 'Youcheng Sun']",,,cs.OS,['cs.OS'],1512.01984,2
77,2015-07-26 18:50:32+00:00,2015-06-09 08:30:23+00:00,"['Ludovic Courtès', 'Ricardo Wurmus']",,,cs.DC,"['cs.DC', 'cs.OS', 'cs.SE']",1506.02822,2
78,2020-08-03 06:04:27+00:00,2020-06-12 11:18:04+00:00,"['Sahil Dhoked', 'Neeraj Mittal']",,,cs.DC,"['cs.DC', 'cs.DS', 'cs.OS']",2006.07086,2
79,2018-10-15 23:38:53+00:00,2018-10-12 03:54:52+00:00,"['Qian Ge', 'Yuval Yarom', 'Tom Chothia', 'Gernot Heiser']",,,cs.OS,['cs.OS'],1810.05345,2
80,2019-09-07 05:54:07+00:00,2019-07-23 20:24:19+00:00,"['Dayeol Lee', 'David Kohlbrenner', 'Shweta Shinde', 'Dawn Song', 'Krste Asanović']",,,cs.CR,"['cs.CR', 'cs.OS']",1907.10119,2
81,2021-03-11 19:49:06+00:00,2020-05-01 11:57:22+00:00,"[""Daniele Cono D'Elia"", 'Simone Nicchi', 'Matteo Mariani', 'Matteo Marini', 'Federico Palmaro']",,,cs.CR,"['cs.CR', 'cs.OS', 'cs.SE']",2005.00323,2
82,2018-08-25 05:50:43+00:00,2018-08-18 06:39:03+00:00,"['Thomas Pasquier', 'Xueyuan Han', 'Thomas Moyer', 'Adam Bates', 'Olivier Hermant', 'David Eyers', 'Jean Bacon', 'Margo Seltzer']",,,cs.CR,"['cs.CR', 'cs.OS']",1808.06049,2
83,2006-08-01 07:04:20+00:00,2006-07-11 18:54:21+00:00,"['Pierre Parrend', 'Stéphane Frénot']",,,cs.CR,"['cs.CR', 'cs.OS']",cs/0607049,2
84,2019-11-20 21:28:47+00:00,2019-03-05 17:35:03+00:00,"['Marcela S. Melara', 'David H. Liu', 'Michael J. Freedman']",,,cs.OS,['cs.OS'],1903.01950,2
85,2023-03-09 07:23:25+00:00,2023-02-27 15:03:15+00:00,"['Jason Zhijingcheng Yu', 'Conrad Watt', 'Aditya Badole', 'Trevor E. Carlson', 'Prateek Saxena']",,,cs.CR,"['cs.CR', 'cs.AR', 'cs.OS']",2302.13863,2
86,2017-07-18 05:17:14+00:00,2017-07-17 10:38:13+00:00,"['Yue Chen', 'Yulong Zhang', 'Zhi Wang', 'Tao Wei']",,,cs.CR,"['cs.CR', 'cs.OS', 'D.4.6']",1707.05082,2
